strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Root_143,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_143,Root,143,WA,N,11,WA-N-11,GYRBA,10,WA-2-12
Root_151,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_151,Root,151,WA,N,2,WA-N-2,Armillaria,10,WA-2-13
Root_162,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_162,Root,162,WA,SE,16,WA-SE-16,SFA,10,WA-2-14
Root_165,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_165,Root,165,IN,NE,5,IN-NE-5,1/2PDA++,10,Single
Root_166,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_166,Root,166,IN,NE,5,IN-NE-5,1/2PDA++,10,Single
Root_169,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_169,Root,169,IN,NE,5,IN-NE-5,GYRBA,10,IN-3-1
Root_175,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_175,Root,175,WA,SW,2,WA-SW-2,Armillaria,10,WA-3-1
Root_185,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_185,Root,185,WA,SW,5,WA-SW-5,GYRBA,10,WA-3-5
Root_190,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_190,Root,190,WA,N,16,WA-N-16,GYRBA,10,WA-3-7
Root_191,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_191,Root,191,WA,N,16,WA-N-16,GYRBA,10,WA-3-3
Root_193,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_193,Root,193,WA,SW,6,WA-SW-6,1/2PDA++,10,Single
Root_196,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_196,Root,196,WA,SW,6,WA-SW-6,1/2PDA++,10,WA-3-8
Root_202,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_202,Root,202,WA,SW,6,WA-SW-6,GYRBA,10,WA-3-9
Root_209,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_209,Root,209,IN,SW,4,IN-SW-4,GYRBA,10,IN-3-5
Root_210,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_210,Root,210,IN,SW,4,IN-SW-4,Armillaria,10,IN-3-6
Root_213,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_213,Root,213,IN,SW,4,IN-SW-4,Armillaria,10,IN-3-8
Root_214,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_214,Root,214,IN,SW,4,IN-SW-4,Armillaria,10,IN-3-9
Root_220,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_220,Root,220,WA,SE,4,WA-SE-4,1/2PDA++,10,WA-3-11
Root_225,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_225,Root,225,WA,N,11,WA-N-11,Armillaria,10,WA-3-6
Root_228,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_228,Root,228,WA,N,11,WA-N-11,GYRBA,10,WA-3-14-1
Root_23,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_23,Root,23,IN,SW,3,IN-SW-3,1/2PDA++,10,IN-1-3
Root_24,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_24,Root,24,IN,SW,3,IN-SW-3,Armillaria,10,IN-1-4
Root_252,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_252,Root,252,IN,NE,6,IN-NE-6,GYRBA,10,IN-3-12
Root_256,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_256,Root,256,WA,N,8,WA-N-8,GYRBA,10,Single
Root_257,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_257,Root,257,WA,N,8,WA-N-8,MSJ,10,WA-3-14-2
Root_258,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_258,Root,258,IN,SW,2,IN-SW-2,GYRBA,10,IN-3-15
Root_259,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_259,Root,259,IN,SW,2,IN-SW-2,GYRBA,10,Single
Root_260,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_260,Root,260,IN,SW,2,IN-SW-2,GYRBA,10,IN-3-16
Root_263,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_263,Root,263,IN,SW,2,IN-SW-2,1/2PDA++,10,IN-3-17
